"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2016"	"2016"	30	55416	54.1
	"Autauga County, AL"	"01001"	"2017"	"2017"	25	55504	45.0
	"Autauga County, AL"	"01001"	"2018"	"2018"	16	55601	Unreliable
	"Baldwin County, AL"	"01003"	"2016"	"2016"	98	208563	47.0
	"Baldwin County, AL"	"01003"	"2017"	"2017"	88	212628	41.4
	"Baldwin County, AL"	"01003"	"2018"	"2018"	112	218022	51.4
	"Barbour County, AL"	"01005"	"2016"	"2016"	10	25965	Unreliable
	"Barbour County, AL"	"01005"	"2017"	"2017"	18	25270	Unreliable
	"Barbour County, AL"	"01005"	"2018"	"2018"	Suppressed	24881	Suppressed
	"Bibb County, AL"	"01007"	"2016"	"2016"	26	22643	114.8
	"Bibb County, AL"	"01007"	"2017"	"2017"	17	22668	Unreliable
	"Bibb County, AL"	"01007"	"2018"	"2018"	14	22400	Unreliable
	"Blount County, AL"	"01009"	"2016"	"2016"	54	57704	93.6
	"Blount County, AL"	"01009"	"2017"	"2017"	45	58013	77.6
	"Blount County, AL"	"01009"	"2018"	"2018"	43	57840	74.3
	"Bullock County, AL"	"01011"	"2016"	"2016"	10	10362	Unreliable
	"Bullock County, AL"	"01011"	"2017"	"2017"	Suppressed	10309	Suppressed
	"Bullock County, AL"	"01011"	"2018"	"2018"	Suppressed	10138	Suppressed
	"Butler County, AL"	"01013"	"2016"	"2016"	12	19998	Unreliable
	"Butler County, AL"	"01013"	"2017"	"2017"	17	19825	Unreliable
	"Butler County, AL"	"01013"	"2018"	"2018"	11	19680	Unreliable
	"Calhoun County, AL"	"01015"	"2016"	"2016"	64	114611	55.8
	"Calhoun County, AL"	"01015"	"2017"	"2017"	71	114728	61.9
	"Calhoun County, AL"	"01015"	"2018"	"2018"	72	114277	63.0
	"Chambers County, AL"	"01017"	"2016"	"2016"	31	33843	91.6
	"Chambers County, AL"	"01017"	"2017"	"2017"	15	33713	Unreliable
	"Chambers County, AL"	"01017"	"2018"	"2018"	18	33615	Unreliable
	"Cherokee County, AL"	"01019"	"2016"	"2016"	24	25725	93.3
	"Cherokee County, AL"	"01019"	"2017"	"2017"	12	25857	Unreliable
	"Cherokee County, AL"	"01019"	"2018"	"2018"	21	26032	80.7
	"Chilton County, AL"	"01021"	"2016"	"2016"	23	43941	52.3
