"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2016"	"2016"	20	55416	36.1
	"Autauga County, AL"	"01001"	"2017"	"2017"	24	55504	43.2
	"Autauga County, AL"	"01001"	"2018"	"2018"	35	55601	62.9
	"Baldwin County, AL"	"01003"	"2016"	"2016"	63	208563	30.2
	"Baldwin County, AL"	"01003"	"2017"	"2017"	70	212628	32.9
	"Baldwin County, AL"	"01003"	"2018"	"2018"	84	218022	38.5
	"Barbour County, AL"	"01005"	"2016"	"2016"	Suppressed	25965	Suppressed
	"Barbour County, AL"	"01005"	"2017"	"2017"	11	25270	Unreliable
	"Barbour County, AL"	"01005"	"2018"	"2018"	12	24881	Unreliable
	"Bibb County, AL"	"01007"	"2016"	"2016"	Suppressed	22643	Suppressed
	"Bibb County, AL"	"01007"	"2017"	"2017"	12	22668	Unreliable
	"Bibb County, AL"	"01007"	"2018"	"2018"	Suppressed	22400	Suppressed
	"Blount County, AL"	"01009"	"2016"	"2016"	27	57704	46.8
	"Blount County, AL"	"01009"	"2017"	"2017"	37	58013	63.8
	"Blount County, AL"	"01009"	"2018"	"2018"	30	57840	51.9
	"Bullock County, AL"	"01011"	"2016"	"2016"	12	10362	Unreliable
	"Bullock County, AL"	"01011"	"2017"	"2017"	10	10309	Unreliable
	"Bullock County, AL"	"01011"	"2018"	"2018"	Suppressed	10138	Suppressed
	"Butler County, AL"	"01013"	"2016"	"2016"	13	19998	Unreliable
	"Butler County, AL"	"01013"	"2017"	"2017"	13	19825	Unreliable
	"Butler County, AL"	"01013"	"2018"	"2018"	20	19680	101.6
	"Calhoun County, AL"	"01015"	"2016"	"2016"	60	114611	52.4
	"Calhoun County, AL"	"01015"	"2017"	"2017"	72	114728	62.8
	"Calhoun County, AL"	"01015"	"2018"	"2018"	77	114277	67.4
	"Chambers County, AL"	"01017"	"2016"	"2016"	29	33843	85.7
	"Chambers County, AL"	"01017"	"2017"	"2017"	30	33713	89.0
	"Chambers County, AL"	"01017"	"2018"	"2018"	29	33615	86.3
	"Cherokee County, AL"	"01019"	"2016"	"2016"	22	25725	85.5
	"Cherokee County, AL"	"01019"	"2017"	"2017"	24	25857	92.8
	"Cherokee County, AL"	"01019"	"2018"	"2018"	26	26032	99.9
	"Chilton County, AL"	"01021"	"2016"	"2016"	14	43941	Unreliable
	"Chilton County, AL"	"01021"	"2017"	"2017"	26	44067	59.0
	"Chilton County, AL"	"01021"	"2018"	"2018"	19	44153	Unreliable
	"Choctaw County, AL"	"01023"	"2016"	"2016"	14	12993	Unreliable
	"Choctaw County, AL"	"01023"	"2017"	"2017"	10	12945	Unreliable
	"Choctaw County, AL"	"01023"	"2018"	"2018"	12	12841	Unreliable
	"Clarke County, AL"	"01025"	"2016"	"2016"	15	24392	Unreliable
	"Clarke County, AL"	"01025"	"2017"	"2017"	13	24083	Unreliable
	"Clarke County, AL"	"01025"	"2018"	"2018"	23	23920	96.2
	"Clay County, AL"	"01027"	"2016"	"2016"	Suppressed	13492	Suppressed
	"Clay County, AL"	"01027"	"2017"	"2017"	Suppressed	13367	Suppressed
	"Clay County, AL"	"01027"	"2018"	"2018"	Suppressed	13275	Suppressed
	"Cleburne County, AL"	"01029"	"2016"	"2016"	Suppressed	14924	Suppressed
	"Cleburne County, AL"	"01029"	"2017"	"2017"	10	14900	Unreliable
	"Cleburne County, AL"	"01029"	"2018"	"2018"	10	14987	Unreliable
	"Coffee County, AL"	"01031"	"2016"	"2016"	32	51226	62.5
	"Coffee County, AL"	"01031"	"2017"	"2017"	32	51874	61.7
	"Coffee County, AL"	"01031"	"2018"	"2018"	47	51909	90.5
	"Colbert County, AL"	"01033"	"2016"	"2016"	39	54216	71.9
	"Colbert County, AL"	"01033"	"2017"	"2017"	34	54500	62.4
	"Colbert County, AL"	"01033"	"2018"	"2018"	40	54762	73.0
	"Conecuh County, AL"	"01035"	"2016"	"2016"	Suppressed	12395	Suppressed
	"Conecuh County, AL"	"01035"	"2017"	"2017"	Suppressed	12469	Suppressed
	"Conecuh County, AL"	"01035"	"2018"	"2018"	11	12277	Unreliable
	"Coosa County, AL"	"01037"	"2016"	"2016"	Suppressed	10581	Suppressed
	"Coosa County, AL"	"01037"	"2017"	"2017"	Suppressed	10754	Suppressed
	"Coosa County, AL"	"01037"	"2018"	"2018"	Suppressed	10715	Suppressed
	"Covington County, AL"	"01039"	"2016"	"2016"	23	37458	61.4
	"Covington County, AL"	"01039"	"2017"	"2017"	29	37092	78.2
	"Covington County, AL"	"01039"	"2018"	"2018"	34	36986	91.9
	"Crenshaw County, AL"	"01041"	"2016"	"2016"	21	13913	150.9
	"Crenshaw County, AL"	"01041"	"2017"	"2017"	Suppressed	13871	Suppressed
	"Crenshaw County, AL"	"01041"	"2018"	"2018"	11	13824	Unreliable
	"Cullman County, AL"	"01043"	"2016"	"2016"	62	82471	75.2
	"Cullman County, AL"	"01043"	"2017"	"2017"	65	82755	78.5
	"Cullman County, AL"	"01043"	"2018"	"2018"	62	83442	74.3
	"Dale County, AL"	"01045"	"2016"	"2016"	25	49226	50.8
	"Dale County, AL"	"01045"	"2017"	"2017"	27	49226	54.8
	"Dale County, AL"	"01045"	"2018"	"2018"	33	48956	67.4
	"Dallas County, AL"	"01047"	"2016"	"2016"	39	40008	97.5
	"Dallas County, AL"	"01047"	"2017"	"2017"	26	39215	66.3
	"Dallas County, AL"	"01047"	"2018"	"2018"	24	38310	62.6
	"DeKalb County, AL"	"01049"	"2016"	"2016"	21	70900	29.6
	"DeKalb County, AL"	"01049"	"2017"	"2017"	40	71617	55.9
	"DeKalb County, AL"	"01049"	"2018"	"2018"	49	71385	68.6
	"Elmore County, AL"	"01051"	"2016"	"2016"	55	81799	67.2
	"Elmore County, AL"	"01051"	"2017"	"2017"	44	81677	53.9
	"Elmore County, AL"	"01051"	"2018"	"2018"	45	81887	55.0
	"Escambia County, AL"	"01053"	"2016"	"2016"	13	37728	Unreliable
	"Escambia County, AL"	"01053"	"2017"	"2017"	21	37447	56.1
	"Escambia County, AL"	"01053"	"2018"	"2018"	15	36748	Unreliable
	"Etowah County, AL"	"01055"	"2016"	"2016"	80	102564	78.0
	"Etowah County, AL"	"01055"	"2017"	"2017"	65	102755	63.3
	"Etowah County, AL"	"01055"	"2018"	"2018"	60	102501	58.5
	"Fayette County, AL"	"01057"	"2016"	"2016"	15	16546	Unreliable
	"Fayette County, AL"	"01057"	"2017"	"2017"	19	16468	Unreliable
	"Fayette County, AL"	"01057"	"2018"	"2018"	16	16433	Unreliable
	"Franklin County, AL"	"01059"	"2016"	"2016"	13	31628	Unreliable
	"Franklin County, AL"	"01059"	"2017"	"2017"	15	31495	Unreliable
	"Franklin County, AL"	"01059"	"2018"	"2018"	20	31363	63.8
	"Geneva County, AL"	"01061"	"2016"	"2016"	23	26614	86.4
	"Geneva County, AL"	"01061"	"2017"	"2017"	24	26421	90.8
	"Geneva County, AL"	"01061"	"2018"	"2018"	25	26314	95.0
	"Greene County, AL"	"01063"	"2016"	"2016"	Suppressed	8422	Suppressed
	"Greene County, AL"	"01063"	"2017"	"2017"	Suppressed	8330	Suppressed
	"Greene County, AL"	"01063"	"2018"	"2018"	Suppressed	8233	Suppressed
	"Hale County, AL"	"01065"	"2016"	"2016"	Suppressed	14952	Suppressed
