"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2016"	"2016"	37	55416	66.8
	"Autauga County, AL"	"01001"	"2017"	"2017"	32	55504	57.7
	"Autauga County, AL"	"01001"	"2018"	"2018"	46	55601	82.7
	"Baldwin County, AL"	"01003"	"2016"	"2016"	119	208563	57.1
	"Baldwin County, AL"	"01003"	"2017"	"2017"	115	212628	54.1
	"Baldwin County, AL"	"01003"	"2018"	"2018"	127	218022	58.3
	"Barbour County, AL"	"01005"	"2016"	"2016"	11	25965	Unreliable
	"Barbour County, AL"	"01005"	"2017"	"2017"	21	25270	83.1
	"Barbour County, AL"	"01005"	"2018"	"2018"	12	24881	Unreliable
	"Bibb County, AL"	"01007"	"2016"	"2016"	13	22643	Unreliable
	"Bibb County, AL"	"01007"	"2017"	"2017"	19	22668	Unreliable
	"Bibb County, AL"	"01007"	"2018"	"2018"	15	22400	Unreliable
	"Blount County, AL"	"01009"	"2016"	"2016"	63	57704	109.2
	"Blount County, AL"	"01009"	"2017"	"2017"	77	58013	132.7
	"Blount County, AL"	"01009"	"2018"	"2018"	64	57840	110.7
	"Bullock County, AL"	"01011"	"2016"	"2016"	Suppressed	10362	Suppressed
	"Bullock County, AL"	"01011"	"2017"	"2017"	Suppressed	10309	Suppressed
	"Bullock County, AL"	"01011"	"2018"	"2018"	Suppressed	10138	Suppressed
	"Butler County, AL"	"01013"	"2016"	"2016"	17	19998	Unreliable
	"Butler County, AL"	"01013"	"2017"	"2017"	14	19825	Unreliable
	"Butler County, AL"	"01013"	"2018"	"2018"	29	19680	147.4
	"Calhoun County, AL"	"01015"	"2016"	"2016"	109	114611	95.1
	"Calhoun County, AL"	"01015"	"2017"	"2017"	111	114728	96.8
	"Calhoun County, AL"	"01015"	"2018"	"2018"	139	114277	121.6
	"Chambers County, AL"	"01017"	"2016"	"2016"	32	33843	94.6
	"Chambers County, AL"	"01017"	"2017"	"2017"	36	33713	106.8
	"Chambers County, AL"	"01017"	"2018"	"2018"	45	33615	133.9
	"Cherokee County, AL"	"01019"	"2016"	"2016"	20	25725	77.7
	"Cherokee County, AL"	"01019"	"2017"	"2017"	23	25857	89.0
	"Cherokee County, AL"	"01019"	"2018"	"2018"	22	26032	84.5
	"Chilton County, AL"	"01021"	"2016"	"2016"	31	43941	70.5
	"Chilton County, AL"	"01021"	"2017"	"2017"	42	44067	95.3
	"Chilton County, AL"	"01021"	"2018"	"2018"	32	44153	72.5
	"Choctaw County, AL"	"01023"	"2016"	"2016"	Suppressed	12993	Suppressed
	"Choctaw County, AL"	"01023"	"2017"	"2017"	Suppressed	12945	Suppressed
	"Choctaw County, AL"	"01023"	"2018"	"2018"	Suppressed	12841	Suppressed
	"Clarke County, AL"	"01025"	"2016"	"2016"	20	24392	82.0
	"Clarke County, AL"	"01025"	"2017"	"2017"	13	24083	Unreliable
	"Clarke County, AL"	"01025"	"2018"	"2018"	11	23920	Unreliable
	"Clay County, AL"	"01027"	"2016"	"2016"	12	13492	Unreliable
	"Clay County, AL"	"01027"	"2017"	"2017"	Suppressed	13367	Suppressed
	"Clay County, AL"	"01027"	"2018"	"2018"	15	13275	Unreliable
	"Cleburne County, AL"	"01029"	"2016"	"2016"	19	14924	Unreliable
	"Cleburne County, AL"	"01029"	"2017"	"2017"	12	14900	Unreliable
	"Cleburne County, AL"	"01029"	"2018"	"2018"	16	14987	Unreliable
	"Coffee County, AL"	"01031"	"2016"	"2016"	34	51226	66.4
	"Coffee County, AL"	"01031"	"2017"	"2017"	37	51874	71.3
	"Coffee County, AL"	"01031"	"2018"	"2018"	32	51909	61.6
	"Colbert County, AL"	"01033"	"2016"	"2016"	56	54216	103.3
	"Colbert County, AL"	"01033"	"2017"	"2017"	69	54500	126.6
	"Colbert County, AL"	"01033"	"2018"	"2018"	61	54762	111.4
	"Conecuh County, AL"	"01035"	"2016"	"2016"	11	12395	Unreliable
	"Conecuh County, AL"	"01035"	"2017"	"2017"	10	12469	Unreliable
	"Conecuh County, AL"	"01035"	"2018"	"2018"	17	12277	Unreliable
	"Coosa County, AL"	"01037"	"2016"	"2016"	12	10581	Unreliable
	"Coosa County, AL"	"01037"	"2017"	"2017"	11	10754	Unreliable
	"Coosa County, AL"	"01037"	"2018"	"2018"	17	10715	Unreliable
	"Covington County, AL"	"01039"	"2016"	"2016"	48	37458	128.1
	"Covington County, AL"	"01039"	"2017"	"2017"	31	37092	83.6
