"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2016"	"2016"	Suppressed	55416	Suppressed
	"Autauga County, AL"	"01001"	"2017"	"2017"	Suppressed	55504	Suppressed
	"Autauga County, AL"	"01001"	"2018"	"2018"	12	55601	Unreliable
	"Baldwin County, AL"	"01003"	"2016"	"2016"	24	208563	11.5
	"Baldwin County, AL"	"01003"	"2017"	"2017"	35	212628	16.5
	"Baldwin County, AL"	"01003"	"2018"	"2018"	34	218022	15.6
	"Barbour County, AL"	"01005"	"2016"	"2016"	Suppressed	25965	Suppressed
	"Barbour County, AL"	"01005"	"2017"	"2017"	Suppressed	25270	Suppressed
	"Barbour County, AL"	"01005"	"2018"	"2018"	Suppressed	24881	Suppressed
	"Bibb County, AL"	"01007"	"2016"	"2016"	Suppressed	22643	Suppressed
	"Bibb County, AL"	"01007"	"2017"	"2017"	Suppressed	22668	Suppressed
	"Bibb County, AL"	"01007"	"2018"	"2018"	12	22400	Unreliable
	"Blount County, AL"	"01009"	"2016"	"2016"	26	57704	45.1
	"Blount County, AL"	"01009"	"2017"	"2017"	24	58013	41.4
	"Blount County, AL"	"01009"	"2018"	"2018"	27	57840	46.7
	"Bullock County, AL"	"01011"	"2016"	"2016"	Suppressed	10362	Suppressed
	"Bullock County, AL"	"01011"	"2017"	"2017"	Suppressed	10309	Suppressed
	"Bullock County, AL"	"01011"	"2018"	"2018"	Suppressed	10138	Suppressed
	"Butler County, AL"	"01013"	"2016"	"2016"	Suppressed	19998	Suppressed
	"Butler County, AL"	"01013"	"2017"	"2017"	Suppressed	19825	Suppressed
	"Butler County, AL"	"01013"	"2018"	"2018"	Suppressed	19680	Suppressed
	"Calhoun County, AL"	"01015"	"2016"	"2016"	27	114611	23.6
	"Calhoun County, AL"	"01015"	"2017"	"2017"	43	114728	37.5
	"Calhoun County, AL"	"01015"	"2018"	"2018"	26	114277	22.8
	"Chambers County, AL"	"01017"	"2016"	"2016"	Suppressed	33843	Suppressed
	"Chambers County, AL"	"01017"	"2017"	"2017"	14	33713	Unreliable
	"Chambers County, AL"	"01017"	"2018"	"2018"	Suppressed	33615	Suppressed
