"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	"2018"	"2018"	"Jan., 2018"	"2018/01"	13	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"2017"	"2017"	"Feb., 2017"	"2017/02"	11	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Jan., 2016"	"2016/01"	18	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Feb., 2016"	"2016/02"	19	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Mar., 2016"	"2016/03"	16	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Jul., 2016"	"2016/07"	11	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Aug., 2016"	"2016/08"	12	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Sep., 2016"	"2016/09"	12	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Dec., 2016"	"2016/12"	11	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"Jan., 2017"	"2017/01"	17	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"Feb., 2017"	"2017/02"	15	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"Mar., 2017"	"2017/03"	20	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"Apr., 2017"	"2017/04"	14	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"May, 2017"	"2017/05"	15	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"Jul., 2017"	"2017/07"	12	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"Aug., 2017"	"2017/08"	15	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"Oct., 2017"	"2017/10"	18	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"Nov., 2017"	"2017/11"	13	Not Applicable	Not Applicable
