"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2016"	"2016"	36	55416	65.0
	"Autauga County, AL"	"01001"	"2017"	"2017"	33	55504	59.5
	"Autauga County, AL"	"01001"	"2018"	"2018"	31	55601	55.8
	"Baldwin County, AL"	"01003"	"2016"	"2016"	110	208563	52.7
	"Baldwin County, AL"	"01003"	"2017"	"2017"	121	212628	56.9
	"Baldwin County, AL"	"01003"	"2018"	"2018"	144	218022	66.0
	"Barbour County, AL"	"01005"	"2016"	"2016"	20	25965	77.0
	"Barbour County, AL"	"01005"	"2017"	"2017"	17	25270	Unreliable
	"Barbour County, AL"	"01005"	"2018"	"2018"	18	24881	Unreliable
	"Bibb County, AL"	"01007"	"2016"	"2016"	15	22643	Unreliable
	"Bibb County, AL"	"01007"	"2017"	"2017"	14	22668	Unreliable
	"Bibb County, AL"	"01007"	"2018"	"2018"	16	22400	Unreliable
	"Blount County, AL"	"01009"	"2016"	"2016"	36	57704	62.4
	"Blount County, AL"	"01009"	"2017"	"2017"	35	58013	60.3
	"Blount County, AL"	"01009"	"2018"	"2018"	19	57840	Unreliable
	"Bullock County, AL"	"01011"	"2016"	"2016"	Suppressed	10362	Suppressed
	"Bullock County, AL"	"01011"	"2017"	"2017"	Suppressed	10309	Suppressed
	"Bullock County, AL"	"01011"	"2018"	"2018"	Suppressed	10138	Suppressed
	"Butler County, AL"	"01013"	"2016"	"2016"	25	19998	125.0
	"Butler County, AL"	"01013"	"2017"	"2017"	11	19825	Unreliable
	"Butler County, AL"	"01013"	"2018"	"2018"	16	19680	Unreliable
	"Calhoun County, AL"	"01015"	"2016"	"2016"	51	114611	44.5
	"Calhoun County, AL"	"01015"	"2017"	"2017"	71	114728	61.9
	"Calhoun County, AL"	"01015"	"2018"	"2018"	104	114277	91.0
	"Chambers County, AL"	"01017"	"2016"	"2016"	27	33843	79.8
	"Chambers County, AL"	"01017"	"2017"	"2017"	34	33713	100.9
	"Chambers County, AL"	"01017"	"2018"	"2018"	16	33615	Unreliable
	"Cherokee County, AL"	"01019"	"2016"	"2016"	11	25725	Unreliable
	"Cherokee County, AL"	"01019"	"2017"	"2017"	16	25857	Unreliable
	"Cherokee County, AL"	"01019"	"2018"	"2018"	15	26032	Unreliable
	"Chilton County, AL"	"01021"	"2016"	"2016"	25	43941	56.9
	"Chilton County, AL"	"01021"	"2017"	"2017"	25	44067	56.7
	"Chilton County, AL"	"01021"	"2018"	"2018"	30	44153	67.9
	"Choctaw County, AL"	"01023"	"2016"	"2016"	20	12993	153.9
	"Choctaw County, AL"	"01023"	"2017"	"2017"	15	12945	Unreliable
	"Choctaw County, AL"	"01023"	"2018"	"2018"	Suppressed	12841	Suppressed
	"Clarke County, AL"	"01025"	"2016"	"2016"	14	24392	Unreliable
	"Clarke County, AL"	"01025"	"2017"	"2017"	10	24083	Unreliable
	"Clarke County, AL"	"01025"	"2018"	"2018"	17	23920	Unreliable
	"Clay County, AL"	"01027"	"2016"	"2016"	Suppressed	13492	Suppressed
	"Clay County, AL"	"01027"	"2017"	"2017"	Suppressed	13367	Suppressed
	"Clay County, AL"	"01027"	"2018"	"2018"	Suppressed	13275	Suppressed
	"Cleburne County, AL"	"01029"	"2016"	"2016"	Suppressed	14924	Suppressed
	"Cleburne County, AL"	"01029"	"2017"	"2017"	10	14900	Unreliable
	"Cleburne County, AL"	"01029"	"2018"	"2018"	12	14987	Unreliable
	"Coffee County, AL"	"01031"	"2016"	"2016"	26	51226	50.8
	"Coffee County, AL"	"01031"	"2017"	"2017"	29	51874	55.9
