"name","Black_Panther","Parasite","Us","BlacKkKlansman","Get_Out","Star_Wars_Last_Jedi"
"Adam",4,NA,4,4,5,5
"Alex",3,4,2,4,5,NA
"Ana",5,NA,NA,5,NA,4
"Ayanthi",NA,NA,NA,4,5,NA
"Ben",4,NA,NA,NA,4,3
"Bonnie",4,5,4,NA,5,4
"Candace",5,NA,4,3,NA,4
"Charlotte",4,NA,NA,4,4,NA
"Gabe",3,NA,4,5,5,NA
"James",NA,NA,4,NA,5,3
"Janet",4,NA,3,NA,5,3
"Jon",4,5,NA,4,5,3
"Karl",3,5,3,4,5,1
"Kelley",3,4,5,5,5,3
"Kenny",3,NA,4,NA,NA,5
"Lorilei",5,5,NA,NA,NA,3
"Martin",4,5,NA,5,3,4
"Mimi",3,5,5,NA,5,NA
"Peter",NA,5,4,NA,4,3
"Val",5,NA,NA,NA,4,5
"Visakha",5,5,5,NA,5,5
"Zach",5,5,5,NA,5,3
