"","doc_id","paragraph_id","sentence_id","sentence","token_id","token","lemma","upos","xpos","feats","head_token_id","dep_rel","deps","misc","value"
"1","doc1",1,1,"data","1","data","data","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",813
"2","doc2",1,1,"experience","1","experience","experience","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",481
"3","doc3",1,1,"work","1","work","work","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",335
"4","doc4",1,1,"browse","1","browse","browse","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",299
"5","doc5",1,1,"science","1","science","science","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",222
"6","doc6",1,1,"center","1","center","center","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",207
"7","doc7",1,1,"learning","1","learning","learne","VERB","VBG","VerbForm=Ger","0","root",NA,"SpacesAfter=\n",188
"8","doc8",1,1,"business","1","business","business","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",188
"9","doc9",1,1,"analysis","1","analysis","analysis","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",175
"10","doc10",1,1,"hiring","1","hiring","hi","VERB","VBG","VerbForm=Ger","0","root",NA,"SpacesAfter=\n",169
"11","doc11",1,1,"jobs","1","jobs","job","NOUN","NNS","Number=Plur","0","root",NA,"SpacesAfter=\n",168
"12","doc12",1,1,"career","1","career","career","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",166
"13","doc13",1,1,"lab","1","lab","labenefit","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",164
"14","doc14",1,1,"advice","1","advice","advice","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",163
"15","doc15",1,1,"skills","1","skills","skills","NOUN","NNS","Number=Plur","0","root",NA,"SpacesAfter=\n",158
"16","doc16",1,1,"help","1","help","help","VERB","VB","VerbForm=Inf","0","root",NA,"SpacesAfter=\n",157
"17","doc17",1,1,"companies","1","companies","company","NOUN","NNS","Number=Plur","0","root",NA,"SpacesAfter=\n",154
